"Levande födda efter region och år"

"region","2012","2013","2014","2015","2016","2017"
"2361 Härjedalen",87,83,71,77,69,80
"2380 Östersund",643,675,716,741,710,749
"2401 Nordmaling",67,65,72,56,83,64
"2403 Bjurholm",21,20,14,17,26,24
"2404 Vindeln",48,47,40,61,59,43
"2409 Robertsfors",61,61,68,81,84,68
"2417 Norsjö",37,52,39,36,43,36
"2418 Malå",35,25,26,29,36,31
"2421 Storuman",50,38,47,45,54,56
"2422 Sorsele",28,30,26,23,27,22
"2425 Dorotea",24,18,21,18,27,13
"2460 Vännäs",92,94,90,102,90,103
"2462 Vilhelmina",70,60,70,57,63,46
"2463 Åsele",17,20,17,22,21,32
"2480 Umeå",1464,1493,1422,1464,1480,1494
"2481 Lycksele",127,129,105,153,142,148
"2482 Skellefteå",694,766,713,725,760,774
"2505 Arvidsjaur",59,67,78,66,69,66
"2506 Arjeplog",30,22,23,20,27,26
"2510 Jokkmokk",35,42,58,42,50,43
"2513 Överkalix",21,24,14,25,30,27
"2514 Kalix",127,134,134,146,116,144
"2518 Övertorneå",29,25,39,24,30,26
"2521 Pajala",46,55,67,52,55,61
"2523 Gällivare",172,195,179,199,181,204
"2560 Älvsbyn",82,60,70,71,85,72
"2580 Luleå",712,765,823,737,806,757
"2581 Piteå",401,440,421,403,419,427
"2582 Boden",248,261,250,292,294,261
"2583 Haparanda",85,89,88,92,85,69
"2584 Kiruna",274,283,252,271,294,230
